ts,pid,rss_kb,comm
15:34:58,92666,32224,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:35:00,92666,36224,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:35:00,94931,25488,/Users/michael.pursifull/.rustup/toolchains/stable-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:35:57,96067,66496,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:35:57,96086,25552,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:05,96208,286272,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:05,96226,25952,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:07,96208,289936,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:07,96226,26496,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:09,96208,809136,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:10,96226,26496,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:12,96208,1232928,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:12,96226,41456,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:14,96208,1233200,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:14,96226,41456,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:16,96208,1233200,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:16,96226,41456,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:18,96208,1233200,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:18,96226,41456,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:22,96613,40784,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:22,96651,38112,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:22,96675,25504,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:24,96613,893600,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:24,96651,299264,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:24,96675,26944,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:24,96712,26464,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:26,96651,577856,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:26,96712,26464,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:26,96808,28976,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:28,96651,1048304,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:28,96712,35936,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:28,96808,1153664,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:28,96843,36768,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:31,96651,1201392,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:31,96712,41632,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:31,96966,34624,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:33,96651,1201392,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:33,96712,41632,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:33,96966,1278800,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:33,97006,41712,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:35,96651,1201392,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:35,96712,41632,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:35,97103,286080,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:35,97126,26400,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:37,97103,1290656,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:37,97126,41648,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:47,97708,37872,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:49,97708,49536,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
15:36:49,97862,25616,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/libexec/rust-analyzer-proc-macro-srv
15:36:51,97708,49600,/Users/michael.pursifull/.rustup/toolchains/1.97.1-aarch64-apple-darwin/bin/rust-analyzer
